"Date","Price","Open","High","Low","Change %"
"Sep 18","0.8893","0.8976","0.9052","0.8876","-0.65%"
"Aug 18","0.8951","0.8908","0.9103","0.8854","0.49%"
"Jul 18","0.8907","0.8843","0.8960","0.8797","0.68%"
"Jun 18","0.8847","0.8790","0.8892","0.8717","0.65%"
"May 18","0.8790","0.8779","0.8848","0.8697","0.23%"
"Apr 18","0.8770","0.8782","0.8829","0.8619","-0.23%"
"Mar 18","0.8790","0.8862","0.8971","0.8667","-0.80%"
"Feb 18","0.8861","0.8748","0.8921","0.8716","1.25%"
"Jan 18","0.8752","0.8880","0.8930","0.8686","-1.42%"
"Dec 17","0.8878","0.8801","0.8896","0.8690","0.89%"
"Nov 17","0.8800","0.8768","0.9015","0.8732","0.36%"
"Oct 17","0.8768","0.8834","0.9035","0.8766","-0.58%"
"Sep 17","0.8819","0.9210","0.9235","0.8744","-4.26%"
"Aug 17","0.9211","0.8960","0.9308","0.8921","2.79%"
"Jul 17","0.8961","0.8770","0.8996","0.8742","2.17%"
"Jun 17","0.8771","0.8722","0.8886","0.8650","0.56%"
"May 17","0.8722","0.8420","0.8753","0.8384","3.65%"
"Apr 17","0.8415","0.8505","0.8596","0.8317","-0.84%"
"Mar 17","0.8486","0.8542","0.8790","0.8482","-0.67%"
"Feb 17","0.8543","0.8584","0.8648","0.8401","-0.48%"
"Jan 17","0.8584","0.8518","0.8856","0.8449","0.72%"
"Dec 16","0.8523","0.8469","0.8668","0.8302","0.67%"
"Nov 16","0.8466","0.8966","0.9051","0.8453","-5.61%"
"Oct 16","0.8969","0.8678","0.9431","0.8676","3.54%"
"Sep 16","0.8662","0.8495","0.8720","0.8333","1.98%"
"Aug 16","0.8494","0.8442","0.8726","0.8344","0.54%"
"Jul 16","0.8448","0.8343","0.8627","0.8249","1.26%"
"Jun 16","0.8343","0.7689","0.8385","0.7597","8.51%"
"May 16","0.7689","0.7838","0.7949","0.7565","-1.93%"
"Apr 16","0.7840","0.7924","0.8118","0.7733","-1.06%"
"Mar 16","0.7924","0.7814","0.7949","0.7653","1.42%"
"Feb 16","0.7813","0.7608","0.7930","0.7525","2.72%"
"Jan 16","0.7606","0.7371","0.7759","0.7313","3.22%"
"Dec 15","0.7369","0.7015","0.7416","0.7005","5.03%"
"Nov 15","0.7016","0.7147","0.7211","0.6982","-1.64%"
"Oct 15","0.7133","0.7386","0.7495","0.7122","-3.45%"
"Sep 15","0.7388","0.7308","0.7439","0.7196","1.08%"
"Aug 15","0.7309","0.7021","0.7425","0.6951","3.92%"
"Jul 15","0.7033","0.7087","0.7226","0.6935","-0.79%"
"Jun 15","0.7089","0.7188","0.7391","0.6985","-1.35%"
"May 15","0.7186","0.7311","0.7487","0.7055","-1.71%"
"Apr 15","0.7311","0.7245","0.7381","0.7117","0.95%"
"Mar 15","0.7242","0.7248","0.7387","0.7013","-0.17%"
"Feb 15","0.7254","0.7489","0.7595","0.7245","-3.16%"
"Jan 15","0.7491","0.7770","0.7876","0.7405","-3.57%"
"Dec 14","0.7768","0.7957","0.8008","0.7759","-2.38%"
"Nov 14","0.7957","0.7824","0.8042","0.7798","1.62%"
"Oct 14","0.7830","0.7791","0.8047","0.7765","0.50%"
"Sep 14","0.7791","0.7916","0.8067","0.7765","-1.53%"
"Aug 14","0.7912","0.7929","0.8037","0.7909","-0.23%"
"Jul 14","0.7930","0.8004","0.8008","0.7873","-0.92%"
"Jun 14","0.8004","0.8135","0.8152","0.7958","-1.63%"
"May 14","0.8137","0.8220","0.8251","0.8081","-0.99%"
"Apr 14","0.8218","0.8266","0.8317","0.8196","-0.57%"
"Mar 14","0.8265","0.8232","0.8403","0.8204","0.27%"
"Feb 14","0.8243","0.8203","0.8350","0.8156","0.45%"
