"Date","Price","Open","High","Low","Change %"
"Sep 18","-0.206","-0.276","-0.169","-0.292","-27.43%"
"Aug 18","-0.284","-0.168","-0.139","-0.343","54.35%"
"Jul 18","-0.184","-0.303","-0.168","-0.327","-39.27%"
"Jun 18","-0.303","-0.242","-0.107","-0.322","12.22%"
"May 18","-0.270","-0.053","0.014","-0.436","357.63%"
"Apr 18","-0.059","-0.112","0.014","-0.114","-42.72%"
"Mar 18","-0.103","0.020","0.097","-0.115","-529.17%"
"Feb 18","0.024","0.009","0.135","-0.066","-700.00%"
"Jan 18","-0.004","-0.205","0.017","-0.239","-98.02%"
"Dec 17","-0.202","-0.289","-0.185","-0.392","-34.20%"
"Nov 17","-0.307","-0.344","-0.271","-0.392","-12.03%"
"Oct 17","-0.349","-0.233","-0.223","-0.357","29.74%"
"Sep 17","-0.269","-0.340","-0.222","-0.404","-20.88%"
"Aug 17","-0.340","-0.171","-0.160","-0.373","89.94%"
"Jul 17","-0.179","-0.209","-0.053","-0.259","-19.00%"
"Jun 17","-0.221","-0.428","-0.203","-0.472","-48.36%"
"May 17","-0.428","-0.376","-0.261","-0.451","10.03%"
"Apr 17","-0.389","-0.379","-0.296","-0.537","2.10%"
"Mar 17","-0.381","-0.570","-0.266","-0.570","-33.16%"
"Feb 17","-0.570","-0.387","-0.292","-0.602","42.14%"
"Jan 17","-0.401","-0.544","-0.338","-0.583","-25.19%"
"Dec 16","-0.536","-0.428","-0.287","-0.574","25.23%"
"Nov 16","-0.428","-0.386","-0.273","-0.488","7.27%"
"Oct 16","-0.399","-0.567","-0.363","-0.580","-29.75%"
"Sep 16","-0.568","-0.503","-0.441","-0.621","13.15%"
"Aug 16","-0.502","-0.527","-0.463","-0.564","-4.74%"
"Jul 16","-0.527","-0.540","-0.453","-0.632","-5.56%"
"Jun 16","-0.558","-0.377","-0.350","-0.634","52.04%"
"May 16","-0.367","-0.289","-0.273","-0.401","30.60%"
"Apr 16","-0.281","-0.328","-0.264","-0.402","-13.80%"
"Mar 16","-0.326","-0.410","-0.222","-0.410","-19.11%"
"Feb 16","-0.403","-0.303","-0.258","-0.406","33.00%"
"Jan 16","-0.303","-0.062","-0.047","-0.308","697.37%"
"Dec 15","-0.038","-0.177","0.034","-0.230","-79.12%"
"Nov 15","-0.182","-0.085","0.033","-0.206","142.67%"
"Oct 15","-0.075","-0.001","0.019","-0.148","-3,850.00%"
"Sep 15","0.002","0.132","0.154","-0.015","-98.48%"
"Aug 15","0.132","0.052","0.134","-0.030","175.00%"
"Jul 15","0.048","0.088","0.280","0.041","-40.74%"
"Jun 15","0.081","0.012","0.273","-0.012","8,000.00%"
"May 15","0.001","0.013","0.214","-0.004","-87.50%"
"Apr 15","0.008","-0.101","0.032","-0.168","-107.92%"
"Mar 15","-0.101","-0.083","-0.005","-0.127","16.09%"
"Feb 15","-0.087","-0.040","-0.021","-0.108","112.20%"
"Jan 15","-0.041","0.013","0.037","-0.059","-392.86%"
"Dec 14","0.014","0.110","0.162","0.010","-87.72%"
"Nov 14","0.114","0.120","0.178","0.098","-10.94%"
"Oct 14","0.128","0.146","0.186","0.081","-12.93%"
"Sep 14","0.147","0.176","0.261","0.098","-15.52%"
"Aug 14","0.174","0.311","0.333","0.160","-44.41%"
