"Date","Price","Open","High","Low","Change %"
"Sep 18","1.081","1.042","1.138","1.002","4.04%"
"Aug 18","1.039","1.076","1.136","0.953","-1.80%"
"Jul 18","1.058","1.006","1.086","0.950","2.82%"
"Jun 18","1.029","0.982","1.137","0.963","8.54%"
"May 18","0.948","1.122","1.239","0.857","-15.13%"
"Apr 18","1.117","1.099","1.259","1.095","0.63%"
"Mar 18","1.110","1.156","1.288","1.088","-3.98%"
"Feb 18","1.156","1.032","1.224","0.961","13.33%"
"Jan 18","1.020","0.734","1.022","0.734","40.11%"
"Dec 17","0.728","0.801","0.820","0.679","-10.46%"
"Nov 17","0.813","0.788","0.852","0.671","4.23%"
"Oct 17","0.780","0.810","0.885","0.720","-1.27%"
"Sep 17","0.790","0.443","0.840","0.377","77.93%"
"Aug 17","0.444","0.602","0.630","0.407","-25.00%"
"Jul 17","0.592","0.717","0.735","0.541","-15.06%"
"Jun 17","0.697","0.486","0.728","0.354","43.42%"
"May 17","0.486","0.505","0.622","0.440","-4.14%"
"Apr 17","0.507","0.558","0.567","0.462","-9.95%"
"Mar 17","0.563","0.568","0.661","0.534","1.81%"
"Feb 17","0.553","0.648","0.660","0.308","-9.05%"
"Jan 17","0.608","0.482","0.673","0.476","27.46%"
"Dec 16","0.477","0.614","0.668","0.460","-22.19%"
"Nov 16","0.613","0.614","0.737","0.466","3.20%"
"Oct 16","0.594","0.225","0.650","0.184","162.83%"
"Sep 16","0.226","0.223","0.361","0.159","5.12%"
"Aug 16","0.215","0.283","0.403","0.122","-22.38%"
"Jul 16","0.277","0.316","0.430","0.268","-22.41%"
"Jun 16","0.357","0.897","0.918","0.352","-60.29%"
"May 16","0.899","0.979","0.985","0.779","-7.51%"
"Apr 16","0.972","0.847","1.038","0.727","15.30%"
"Mar 16","0.843","0.748","1.034","0.721","13.77%"
"Feb 16","0.741","0.893","0.971","0.618","-17.02%"
"Jan 16","0.893","1.301","1.315","0.890","-33.66%"
"Dec 15","1.346","1.239","1.380","1.134","10.42%"
"Nov 15","1.219","1.284","1.434","1.189","-4.84%"
"Oct 15","1.281","1.209","1.297","1.084","7.29%"
"Sep 15","1.194","1.385","1.414","1.162","-13.42%"
"Aug 15","1.379","1.446","1.546","1.203","-3.97%"
"Jul 15","1.436","1.537","1.642","1.323","-5.03%"
"Jun 15","1.512","1.371","1.673","1.331","12.42%"
"May 15","1.345","1.359","1.559","1.339","-3.17%"
"Apr 15","1.389","1.209","1.428","1.124","16.72%"
"Mar 15","1.190","1.405","1.551","1.092","-1.98%"
"Feb 15","1.214","0.896","1.233","0.892","36.40%"
"Jan 15","0.890","1.183","1.217","0.886","-23.93%"
"Dec 14","1.170","1.251","1.422","1.118","-7.73%"
"Nov 14","1.268","1.516","1.594","1.245","-17.72%"
"Oct 14","1.541","1.781","1.788","1.225","-13.09%"
"Sep 14","1.773","1.709","1.930","1.685","3.68%"
"Aug 14","1.710","2.019","2.030","1.690","-14.76%"
"Jul 14","2.006","2.039","2.150","1.943","-1.28%"
"Jun 14","2.032","1.886","2.140","1.868","8.55%"
"May 14","1.872","1.946","2.058","1.818","-3.70%"
"Apr 14","1.944","1.990","2.007","1.820","-1.77%"
"Mar 14","1.979","1.560","2.009","1.554","21.71%"
"Feb 14","1.626","1.639","1.735","1.526","-0.37%"
"Jan 14","1.632","1.910","1.918","1.603","-12.59%"
"Dec 13","1.867","1.564","1.918","1.564","20.92%"
"Nov 13","1.544","1.446","1.627","1.430","5.90%"
"Oct 13","1.458","1.536","1.660","1.376","-4.77%"
"Sep 13","1.531","1.607","1.834","1.493","-2.23%"
"Aug 13","1.566","1.205","1.697","1.198","25.28%"
"Jul 13","1.250","1.432","1.476","1.168","-12.65%"
"Jun 13","1.431","1.067","1.677","1.055","54.54%"
"May 13","0.926","0.675","0.954","0.619","37.59%"
"Apr 13","0.673","0.686","0.734","0.609","-4.13%"
"Mar 13","0.702","0.786","0.939","0.660","-11.03%"
"Feb 13","0.789","0.986","1.048","0.755","-20.22%"
"Jan 13","0.989","0.913","1.077","0.885","14.07%"
"Dec 12","0.867","0.817","0.961","0.736","5.60%"
"Nov 12","0.821","0.829","0.897","0.667","0.74%"
"Oct 12","0.815","0.728","0.901","0.669","14.15%"
"Sep 12","0.714","0.600","0.935","0.592","47.52%"
"Aug 12","0.484","0.496","0.684","0.449","-3.01%"
"Jul 12","0.499","0.709","0.811","0.420","-32.84%"
"Jun 12","0.743","0.656","0.861","0.566","15.73%"
"May 12","0.642","1.076","1.095","0.630","-40.61%"
"Apr 12","1.081","1.074","1.166","0.914","4.85%"
"Mar 12","1.031","0.982","1.283","0.935","5.10%"
"Feb 12","0.981","0.990","1.189","0.904","0.00%"
"Jan 12","0.981","1.062","1.179","0.962","-7.71%"
"Dec 11","1.063","1.183","1.222","0.812","-5.26%"
"Nov 11","1.122","1.265","1.308","0.984","-11.30%"
"Oct 11","1.265","1.314","1.505","1.197","-6.78%"
"Sep 11","1.357","1.266","1.498","0.994","6.60%"
"Aug 11","1.273","1.430","1.441","0.958","-9.07%"
"Jul 11","1.400","1.883","1.908","1.389","-24.00%"
"Jun 11","1.842","1.984","2.070","1.622","-6.59%"
"May 11","1.972","2.183","2.193","1.949","-10.61%"
"Apr 11","2.206","2.479","2.596","2.180","-9.66%"
"Mar 11","2.442","2.493","2.575","2.171","-1.21%"
"Feb 11","2.472","2.500","2.752","2.450","0.49%"
"Jan 11","2.460","2.228","2.525","2.198","12.18%"
"Dec 10","2.193","1.960","2.414","1.937","14.52%"
"Nov 10","1.915","1.633","2.114","1.512","18.06%"
"Oct 10","1.622","1.600","1.731","1.423","1.19%"
"Sep 10","1.603","1.613","1.891","1.552","-0.80%"
"Aug 10","1.616","2.066","2.115","1.525","-21.40%"
"Jul 10","2.056","2.065","2.279","1.994","-0.39%"
"Jun 10","2.064","2.237","2.341","2.046","-9.71%"
"May 10","2.286","2.629","2.756","2.114","-13.80%"
"Apr 10","2.652","2.722","2.866","2.639","-2.86%"
"Mar 10","2.730","2.783","2.924","2.680","-0.69%"
"Feb 10","2.749","2.739","3.039","2.720","-0.47%"
"Jan 10","2.762","2.842","2.916","2.676","-0.83%"
"Dec 09","2.785","2.602","2.901","2.506","7.24%"
"Nov 09","2.597","2.731","2.985","2.517","-4.59%"
"Oct 09","2.722","2.632","2.855","2.411","3.26%"
"Sep 09","2.636","2.580","2.791","2.558","1.19%"
"Aug 09","2.605","2.962","3.093","2.515","-11.99%"
"Jul 09","2.960","2.892","3.136","2.716","2.64%"
"Jun 09","2.884","2.572","3.030","2.495","13.19%"
"May 09","2.548","2.327","2.679","2.289","7.24%"
"Apr 09","2.376","2.332","2.647","2.261","1.28%"
"Mar 09","2.346","2.578","2.688","1.988","-10.32%"
"Feb 09","2.616","2.845","2.942","2.396","-8.11%"
"Jan 09","2.847","2.484","3.052","2.360","15.36%"
"Dec 08","2.468","3.191","3.252","2.457","-22.63%"
"Nov 08","3.190","3.768","3.768","2.988","-15.00%"
"Oct 08","3.753","4.188","4.560","3.685","-10.56%"
"Sep 08","4.196","4.459","4.707","4.088","-6.57%"
"Aug 08","4.491","4.829","4.862","4.427","-6.34%"
"Jul 08","4.795","5.263","5.304","4.750","-8.60%"
"Jun 08","5.246","5.040","5.496","4.905","4.61%"
"May 08","5.015","4.504","5.079","4.359","11.25%"
"Apr 08","4.508","4.007","4.716","3.993","12.31%"
"Mar 08","4.014","4.163","4.219","3.866","-3.63%"
"Feb 08","4.165","4.309","4.475","4.136","-3.39%"
"Jan 08","4.311","4.455","4.509","4.094","-3.49%"
"Dec 07","4.467","4.656","4.830","4.448","-4.12%"
"Nov 07","4.659","4.980","5.074","4.481","-6.41%"
"Oct 07","4.978","4.997","5.239","4.844","-0.32%"
"Sep 07","4.994","5.170","5.252","4.848","-2.71%"
"Aug 07","5.133","5.133","5.133","5.133","-3.26%"
"Jul 07","5.306","5.306","5.306","5.306","-6.67%"
"Jun 07","5.685","5.685","5.685","5.685","3.05%"
"May 07","5.517","5.517","5.517","5.517","3.49%"
"Apr 07","5.331","5.331","5.331","5.331","2.42%"
"Mar 07","5.205","5.205","5.205","5.205","0.95%"
"Feb 07","5.156","5.156","5.156","5.156","-3.30%"
"Jan 07","5.332","5.332","5.332","5.332","5.08%"
"Dec 06","5.074","5.074","5.074","5.074","4.60%"
"Nov 06","4.851","4.851","4.851","4.851","-0.23%"
"Oct 06","4.862","4.862","4.862","4.862","3.60%"
"Sep 06","4.693","4.693","4.693","4.693","-0.78%"
"Aug 06","4.730","4.730","4.730","4.730","1.11%"
"Jul 06","4.678","4.678","4.678","4.678","-2.78%"
"Jun 06","4.812","4.812","4.812","4.812","3.17%"
"May 06","4.664","4.664","4.664","4.664","-0.36%"
"Apr 06","4.681","4.681","4.681","4.681","4.93%"
"Mar 06","4.461","4.461","4.461","4.461","3.58%"
"Feb 06","4.307","4.307","4.307","4.307","0.77%"
"Jan 06","4.274","4.274","4.274","4.274","2.37%"
"Dec 05","4.175","4.175","4.175","4.175","-2.27%"
"Nov 05","4.272","4.272","4.272","4.272","-1.88%"
"Oct 05","4.354","4.354","4.354","4.354","3.72%"
"Sep 05","4.198","4.198","4.198","4.198","1.97%"
"Aug 05","4.117","4.117","4.117","4.117","-2.19%"
"Jul 05","4.209","4.209","4.209","4.209","2.26%"
"Jun 05","4.116","4.116","4.116","4.116","-4.66%"
"May 05","4.317","4.317","4.317","4.317","-4.19%"
"Apr 05","4.506","4.506","4.506","4.506","-4.33%"
"Mar 05","4.710","4.710","4.710","4.710","-1.22%"
"Feb 05","4.768","4.768","4.768","4.768","4.84%"
"Jan 05","4.548","4.548","4.548","4.548","0.42%"
"Dec 04","4.529","4.529","4.529","4.529","0.40%"
"Nov 04","4.511","4.511","4.511","4.511","-3.45%"
"Oct 04","4.672","4.672","4.672","4.672","-2.36%"
"Sep 04","4.785","4.785","4.785","4.785","-3.10%"
"Aug 04","4.938","4.938","4.938","4.938","-4.82%"
"Jul 04","5.188","5.188","5.188","5.188","2.57%"
"Jun 04","5.058","5.058","5.058","5.058","-1.73%"
"May 04","5.147","5.147","5.147","5.147","5.69%"
"Apr 04","4.870","4.870","4.870","4.870","4.62%"
"Mar 04","4.655","4.655","4.655","4.655","0.74%"
"Feb 04","4.621","4.621","4.621","4.621","-3.33%"
"Jan 04","4.780","4.780","4.780","4.780","4.23%"
"Dec 03","4.586","4.586","4.586","4.586","-6.27%"
"Nov 03","4.893","4.893","4.893","4.893","-0.41%"
"Oct 03","4.913","4.913","4.913","4.913","14.15%"
