"Date","Price","Open","High","Low","Change %"
"Sep 18","2.852","2.741","2.907","2.733","4.16%"
"Aug 18","2.738","2.841","2.887","2.692","-3.86%"
"Jul 18","2.848","2.736","2.868","2.701","3.94%"
"Jun 18","2.740","2.696","2.871","2.694","1.48%"
"May 18","2.700","2.802","2.957","2.559","-3.61%"
"Apr 18","2.801","2.580","2.854","2.535","9.33%"
"Mar 18","2.562","2.645","2.735","2.540","-3.14%"
"Feb 18","2.645","2.532","2.693","2.343","4.88%"
"Jan 18","2.522","2.231","2.553","2.215","14.32%"
"Dec 17","2.206","2.142","2.263","2.068","2.94%"
"Nov 17","2.143","2.018","2.156","1.975","6.35%"
"Oct 17","2.015","1.944","2.093","1.893","3.92%"
"Sep 17","1.939","1.710","1.954","1.599","13.72%"
"Aug 17","1.705","1.844","1.857","1.669","-7.19%"
"Jul 17","1.837","1.895","1.968","1.795","-2.65%"
"Jun 17","1.887","1.762","1.893","1.673","7.64%"
"May 17","1.753","1.814","1.951","1.713","-3.63%"
"Apr 17","1.819","1.931","1.939","1.696","-5.51%"
"Mar 17","1.925","1.959","2.148","1.883","-0.67%"
"Feb 17","1.938","1.921","2.020","1.794","0.88%"
"Jan 17","1.921","1.922","2.017","1.804","-0.67%"
"Dec 16","1.934","1.855","2.124","1.788","4.60%"
"Nov 16","1.849","1.320","1.906","1.153","41.69%"
"Oct 16","1.305","1.157","1.368","1.148","13.58%"
"Sep 16","1.149","1.198","1.270","1.092","-3.77%"
"Aug 16","1.194","1.035","1.241","0.996","16.83%"
"Jul 16","1.022","0.997","1.181","0.900","2.10%"
"Jun 16","1.001","1.373","1.390","0.894","-27.46%"
"May 16","1.380","1.288","1.424","1.155","6.65%"
"Apr 16","1.294","1.219","1.405","1.133","7.30%"
"Mar 16","1.206","1.214","1.534","1.185","-0.90%"
"Feb 16","1.217","1.344","1.385","0.976","-8.50%"
"Jan 16","1.330","1.780","1.780","1.325","-24.35%"
"Dec 15","1.758","1.653","1.829","1.553","6.80%"
"Nov 15","1.646","1.517","1.779","1.512","8.15%"
"Oct 15","1.522","1.364","1.558","1.213","12.32%"
"Sep 15","1.355","1.546","1.617","1.354","-12.47%"
"Aug 15","1.548","1.543","1.671","1.292","0.91%"
"Jul 15","1.534","1.651","1.752","1.473","-6.52%"
"Jun 15","1.641","1.490","1.811","1.471","10.51%"
"May 15","1.485","1.443","1.673","1.440","3.85%"
"Apr 15","1.430","1.383","1.507","1.239","4.23%"
"Mar 15","1.372","1.512","1.711","1.340","-8.53%"
"Feb 15","1.500","1.173","1.646","1.164","30.10%"
"Jan 15","1.153","1.689","1.705","1.152","-30.25%"
"Dec 14","1.653","1.495","1.791","1.433","10.64%"
"Nov 14","1.494","1.596","1.701","1.479","-7.15%"
"Oct 14","1.609","1.771","1.775","1.115","-8.74%"
"Sep 14","1.763","1.638","1.879","1.628","8.36%"
"Aug 14","1.627","1.758","1.789","1.495","-7.35%"
"Jul 14","1.756","1.633","1.807","1.605","7.53%"
"Jun 14","1.633","1.549","1.758","1.538","6.11%"
"May 14","1.539","1.686","1.765","1.465","-8.23%"
"Apr 14","1.677","1.728","1.811","1.546","-2.50%"
"Mar 14","1.720","1.456","1.786","1.449","14.44%"
"Feb 14","1.503","1.510","1.582","1.422","0.74%"
"Jan 14","1.492","1.751","1.806","1.485","-14.65%"
"Dec 13","1.748","1.375","1.759","1.372","27.41%"
"Nov 13","1.372","1.333","1.461","1.270","3.47%"
"Oct 13","1.326","1.386","1.473","1.250","-4.26%"
"Sep 13","1.385","1.698","1.864","1.360","-15.86%"
"Aug 13","1.646","1.383","1.727","1.337","18.76%"
"Jul 13","1.386","1.403","1.634","1.275","-0.72%"
"Jun 13","1.396","1.043","1.558","0.947","36.33%"
"May 13","1.024","0.674","1.090","0.639","51.03%"
"Apr 13","0.678","0.788","0.792","0.650","-11.83%"
"Mar 13","0.769","0.763","0.921","0.724","0.39%"
"Feb 13","0.766","0.873","0.920","0.741","-12.95%"
"Jan 13","0.880","0.725","0.918","0.725","21.38%"
"Dec 12","0.725","0.617","0.795","0.591","17.12%"
"Nov 12","0.619","0.729","0.774","0.598","-14.15%"
"Oct 12","0.721","0.617","0.833","0.601","15.36%"
"Sep 12","0.625","0.592","0.741","0.587","6.29%"
"Aug 12","0.588","0.581","0.839","0.581","0.34%"
"Jul 12","0.586","0.729","0.732","0.536","-18.27%"
"Jun 12","0.717","0.663","0.782","0.590","9.13%"
"May 12","0.657","0.809","0.849","0.633","-19.19%"
"Apr 12","0.813","1.068","1.120","0.784","-21.83%"
"Mar 12","1.040","0.870","1.226","0.813","20.37%"
"Feb 12","0.864","0.708","0.927","0.698","22.38%"
"Jan 12","0.706","0.833","0.927","0.700","-15.25%"
"Dec 11","0.833","0.959","1.020","0.796","-12.96%"
"Nov 11","0.957","0.979","1.008","0.839","-0.93%"
"Oct 11","0.966","0.961","1.221","0.843","1.15%"
"Sep 11","0.955","0.957","1.013","0.762","-1.55%"
"Aug 11","0.970","1.383","1.422","0.792","-28.20%"
"Jul 11","1.351","1.767","1.844","1.344","-23.41%"
"Jun 11","1.764","1.709","1.815","1.355","3.89%"
"May 11","1.698","1.979","2.010","1.678","-13.89%"
"Apr 11","1.972","2.282","2.353","1.964","-13.20%"
"Mar 11","2.272","2.155","2.345","1.802","6.32%"
"Feb 11","2.137","1.942","2.424","1.942","9.82%"
"Jan 11","1.946","2.014","2.168","1.859","-3.09%"
"Dec 10","2.008","1.473","2.188","1.464","36.97%"
"Nov 10","1.466","1.197","1.587","1.016","25.41%"
"Oct 10","1.169","1.279","1.341","1.071","-8.17%"
"Sep 10","1.273","1.346","1.627","1.225","-4.36%"
"Aug 10","1.331","1.613","1.645","1.278","-16.71%"
"Jul 10","1.598","1.786","1.910","1.593","-10.12%"
"Jun 10","1.778","2.118","2.211","1.747","-15.29%"
"May 10","2.099","2.421","2.492","1.855","-13.19%"
"Apr 10","2.418","2.567","2.757","2.385","-5.32%"
"Mar 10","2.554","2.317","2.693","2.240","10.80%"
"Feb 10","2.305","2.343","2.507","2.197","-0.86%"
"Jan 10","2.325","2.713","2.746","2.297","-13.38%"
"Dec 09","2.684","2.006","2.760","1.991","34.00%"
"Nov 09","2.003","2.322","2.422","1.949","-13.21%"
"Oct 09","2.308","2.325","2.514","2.121","-0.30%"
"Sep 09","2.315","2.395","2.492","2.229","-3.02%"
"Aug 09","2.387","2.545","2.871","2.354","-5.13%"
"Jul 09","2.516","2.548","2.746","2.168","-1.72%"
"Jun 09","2.560","2.367","2.993","2.357","9.31%"
"May 09","2.342","2.010","2.540","1.936","16.29%"
"Apr 09","2.014","1.668","2.080","1.641","20.74%"
"Mar 09","1.668","1.992","2.049","1.500","-16.22%"
"Feb 09","1.991","1.883","2.120","1.646","5.74%"
"Jan 09","1.883","1.567","1.915","1.316","20.78%"
"Dec 08","1.559","1.919","1.980","1.190","-18.76%"
"Nov 08","1.919","2.806","2.840","1.872","-31.76%"
"Oct 08","2.812","2.907","3.082","2.334","-5.92%"
"Sep 08","2.989","3.096","3.226","2.351","-3.39%"
"Aug 08","3.094","3.249","3.380","2.981","-4.65%"
"Jul 08","3.245","3.327","3.573","3.004","-2.76%"
"Jun 08","3.337","3.420","3.765","3.144","-2.71%"
"May 08","3.430","3.025","3.513","2.912","13.65%"
"Apr 08","3.018","2.465","3.255","2.440","23.28%"
"Mar 08","2.448","2.492","2.672","2.166","-1.05%"
"Feb 08","2.474","2.784","3.027","2.472","-10.52%"
"Jan 08","2.765","3.452","3.505","2.398","-19.97%"
"Dec 07","3.455","3.402","3.726","3.206","1.71%"
"Nov 07","3.397","4.176","4.213","3.177","-18.65%"
"Oct 07","4.176","4.176","4.176","4.176","-1.86%"
"Sep 07","4.255","4.255","4.255","4.255","0.00%"
"Aug 07","4.255","4.255","4.255","4.255","-6.65%"
"Jul 07","4.558","4.558","4.558","4.558","-7.49%"
"Jun 07","4.927","4.927","4.927","4.927","1.44%"
"May 07","4.857","4.857","4.857","4.857","7.55%"
"Apr 07","4.516","4.516","4.516","4.516","-0.55%"
"Mar 07","4.541","4.541","4.541","4.541","0.24%"
"Feb 07","4.530","4.530","4.530","4.530","-5.80%"
"Jan 07","4.809","4.809","4.809","4.809","2.45%"
"Dec 06","4.694","4.694","4.694","4.694","5.55%"
"Nov 06","4.447","4.447","4.447","4.447","-2.63%"
"Oct 06","4.567","4.567","4.567","4.567","-0.39%"
"Sep 06","4.585","4.585","4.585","4.585","-2.36%"
"Aug 06","4.696","4.696","4.696","4.696","-4.30%"
"Jul 06","4.907","4.907","4.907","4.907","-3.82%"
"Jun 06","5.102","5.102","5.102","5.102","1.31%"
